,Coefficient,MAE,EVS
AdultWeekday,10.784355667003313,5.6616499738903725,0.7827057764869635
summit_elev,3.1197679444909734,5.6616499738903725,0.7827057764869635
clusters,2.2495620007499455,5.6616499738903725,0.7827057764869635
daysOpenLastYear,2.1204892018258628,5.6616499738903725,0.7827057764869635
projectedDaysOpen,1.8582111200015372,5.6616499738903725,0.7827057764869635
vertical_drop,1.8551395081937287,5.6616499738903725,0.7827057764869635
quad,1.7293096735529605,5.6616499738903725,0.7827057764869635
surface,1.348210133079606,5.6616499738903725,0.7827057764869635
averageSnowfall,1.1784518558602628,5.6616499738903725,0.7827057764869635
double,1.122904967443616,5.6616499738903725,0.7827057764869635
triple,0.9730328347592878,5.6616499738903725,0.7827057764869635
Snow Making_ac,0.894635981847693,5.6616499738903725,0.7827057764869635
total_chairs,0.832676800731838,5.6616499738903725,0.7827057764869635
TerrainParks,0.7658848500543995,5.6616499738903725,0.7827057764869635
LongestRun_mi,0.6979888172270641,5.6616499738903725,0.7827057764869635
Runs,0.6570582159400968,5.6616499738903725,0.7827057764869635
NightSkiing_ac,0.4325465364828094,5.6616499738903725,0.7827057764869635
SkiableTerrain_ac,0.3273167132554101,5.6616499738903725,0.7827057764869635
yearsOpen,0.2292443011633798,5.6616499738903725,0.7827057764869635
fastQuads,0.14423858863550088,5.6616499738903725,0.7827057764869635
fastEight,8.881784197001252e-16,5.6616499738903725,0.7827057764869635
trams,4.440892098500626e-16,5.6616499738903725,0.7827057764869635
fastSixes,0.0,5.6616499738903725,0.7827057764869635
